pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
1,968,85.99498253,29.11375046,17043.00714,4.742098159,0.308171216,0.403093205,51.34705304,24.53934287,4.290790067,3.703832429,14.56695273,11.2885844,0.138615115,0.123390429,0.261996581
1,969,86.03179084,29.48375046,13937.71571,3.884955302,0.388171216,0.423570056,41.26705304,22.54348649,3.299370118,2.448134821,13.09195273,8.658122789,0.121736644,0.092805105,0.214532785
1,971,93.04344111,37.76558413,10954.83254,4.219605046,0.427079365,0.374088472,27.12300183,26.22630539,3.765972891,3.300541575,14.21897405,10.7904902,0.097992846,0.084281139,0.18226502
1,972,90.1790241,37.9733697,16657.83471,6.278632707,0.351833015,0.385826037,33.00024827,28.84068557,4.631083147,3.019550549,17.50263158,9.41087224,0.155229505,0.100095011,0.255315551
1,973,92.9691558,18.78558413,23564.94683,4.49389076,0.277079365,0.329622317,72.78014469,27.71748089,3.71198455,2.039653579,20.57200436,8.849447022,0.149012163,0.080099364,0.229102562
1,977,91.88455759,39.19817932,16908.92279,6.658328552,0.288663915,0.379917797,38.73541731,32.26169195,4.92348231,3.248530471,19.13297101,9.878993436,0.129527446,0.085344794,0.214863276
1,984,89.99498253,26.8633697,20211.469,5.375775564,0.341833015,0.409581154,49.99453398,25.75364682,3.375675832,2.633293495,14.26096491,9.512405434,0.113171912,0.09146806,0.204631009
1,986,99.88455759,27.97741781,18621.88079,5.571397648,0.355987513,0.376627873,44.93323635,29.69029984,4.72125384,2.596452603,18.29599539,8.551635505,0.14126825,0.077193954,0.218453239
1,987,114.1790241,19.58108516,12224.08016,3.429268566,0.25380381,0.38957509,88.97656251,29.12650923,4.748397737,3.140316945,21.44170471,11.34546511,0.180349587,0.118763973,0.299104595
1,990,89.9691558,29.7533697,15498.349,4.564346993,0.401833015,0.393733122,37.27453398,26.93175293,4.853820226,4.12580778,16.61096491,11.49010397,0.131899627,0.111304984,0.243195646
